,Money,0,2531,18701,35,0,,0,0,,,
,,Expenses and employee benefits,1,52,52,52,2,2,12,0,,
,,Court claims debt and bankruptcy,1,49,49,49,1,2,12,0,,
,,Money laundering regulations,1,21,39,5,0,1,13,1,,
,,,Registration for specific business types,2,6,6,3,0,33,0,0,
,,,Your role under the regulations,2,7,7,3,0,38,4,1,
,,,Problems and compliance checks,2,5,5,2,0,27,6,1,
,,Business tax,1,555,3999,15,0,29,14,1,,
,,,Climate Change Levy,2,43,43,21,2,2,2,0,
,,,Business tax reform,2,70,70,35,2,3,1,0,
,,,VAT,2,315,660,18,2,15,10,2,
,,,,Accounting for VAT,3,120,120,40,2,34,24,2
,,,,Exporting goods and services,3,20,20,6,2,5,4,0
,,,,Paying,3,19,19,6,2,5,4,0
,,,,Exchange rates,3,1,1,0,0,0,9,1
,,,,Overseas businesses and UK VAT,3,12,12,4,2,3,6,1
,,,,VAT MOSS,3,6,6,2,1,1,8,1
,,,,Charging VAT,3,66,66,22,2,19,9,1
,,,,Rules for particular trades,3,45,45,15,2,13,3,0
,,,,VAT returns,3,21,21,7,2,6,3,0
,,,,Importing goods and services,3,34,34,11,2,9,0,0
,,,,Reclaiming VAT on a new home,3,1,1,0,0,0,9,1
,,,Fuel Duty,2,112,114,14,2,5,0,0,
,,,,Moving and storing goods,3,0,0,0,0,0,50,2
,,,,Payments and reliefs Fuel duty,3,2,2,0,0,100,50,2
,,,Alcohol duties,2,105,135,16,2,5,0,0,
,,,,Moving and storing goods,3,14,14,4,2,46,4,0
,,,,Payments and reliefs Alcohol duty,3,16,16,5,2,53,3,0
,,,Pension scheme administration,2,257,300,17,2,12,7,2,
,,,,Administering a pension scheme,3,19,19,6,2,44,24,2
,,,,Tax on pensions,3,7,7,2,1,16,4,0
,,,,Pension scheme trustees,3,9,9,3,2,20,0,0
,,,,Paying into a pension scheme,3,5,5,1,0,11,9,1
,,,,Overseas schemes,3,3,3,1,0,6,14,2
,,,International tax,2,197,208,18,2,9,4,1,
,,,,Oil and gas,3,0,0,0,0,0,33,2
,,,,Shipping,3,1,1,0,0,9,24,2
,,,,Double taxation,3,10,10,3,2,90,56,2
,,,Stamp duty and other tax on property,2,78,104,6,1,3,1,0,
,,,,Stamp Duty before December 2003,3,2,2,0,0,7,13,2
,,,,Pay your SDLT bill,3,3,3,1,0,11,9,1
,,,,SDLT on specific transactions,3,6,6,2,1,23,3,0
,,,,Annual Tax on Enveloped Dwellings,3,11,11,3,2,42,22,2
,,,,Filing a SDLT return,3,4,4,1,0,15,5,1
,,,Investment schemes,2,54,71,8,1,2,2,0,
,,,,Collective Investment Schemes,3,8,8,2,1,47,3,0
,,,,Venture capital schemes,3,9,9,3,2,52,2,0
,,,Landfill Tax,2,41,42,8,1,1,3,0,
,,,,Payments and reliefs landfill tax,3,1,1,0,0,100,0,0
,,,Corporation Tax,2,264,302,15,2,12,7,2,
,,,,Preparing accounts for Corporation Tax,3,5,5,1,0,13,3,0
,,,,Changes to your company,3,3,3,1,0,7,9,1
,,,,Working out your Corporation Tax,3,7,7,2,1,18,1,0
,,,,Filing your return,3,4,4,1,0,10,6,1
,,,,Reliefs,3,14,14,4,2,36,19,2
,,,,Payments and refunds,3,5,5,1,0,13,3,0
,,,Gambling duties,2,44,69,3,0,2,2,0,
,,,,Bingo Duty,3,3,3,1,0,12,4,0
,,,,Lottery Duty,3,2,2,0,0,8,8,1
,,,,Gaming Duty,3,6,6,2,1,24,7,1
,,,,Machine Games Duty,3,4,4,1,0,16,0,0
,,,,General Betting Duty Pool Betting Duty and Remote Gaming Duty,3,6,6,2,1,24,7,1
,,,,Paying HMRC,3,4,4,1,0,16,0,0
,,,Employment related securities,2,34,46,3,0,1,3,0,
,,,,National Insurance transfers,3,1,1,0,0,8,17,2
,,,,Returns and notifications,3,7,7,2,1,58,33,2
,,,,Asset valuation,3,1,1,0,0,8,17,2
,,,,SAYE bonus rates,3,3,3,1,0,25,0,0
,,,Construction Industry Scheme CIS,2,37,47,4,0,1,3,0,
,,,,Contractors,3,4,4,1,0,40,6,1
,,,,Payments,3,2,2,0,0,20,13,2
,,,,Subcontractors,3,4,4,1,0,40,6,1
,,,Tobacco Products Duty,2,62,70,8,1,2,2,0,
,,,,Moving and storing goods,3,5,5,1,0,62,12,2
,,,,Payments and reliefs tobacco products duty,3,3,3,1,0,37,13,2
,,,Aggregates Levy,2,25,29,5,0,1,3,0,
,,,,Payments and reliefs aggregates levy,3,4,4,1,0,100,0,0
,,,Air Passenger Duty,2,18,18,9,1,0,4,1,
,,,Capital allowances,2,29,29,14,2,1,3,0,
,,,Stamp duty on shares,2,20,31,3,0,0,4,1,
,,,,Stamp tax on paper shares,3,5,5,1,0,45,5,1
,,,,Stamp tax on electronic shares,3,6,6,2,1,54,4,0
,,,IR35 working through an intermediary,2,5,18,1,0,0,4,1,
,,,,Employment intermediaries,3,4,4,1,0,30,3,0
,,,,Offpayroll working rules,3,8,8,2,1,61,27,2
,,,,Employment status,3,1,1,0,0,7,26,2
,,,Life insurance policies,2,6,6,3,0,0,4,1,
,,,Insurance Premium Tax,2,12,18,3,0,0,4,1,
,,,,Paying Insurance Premium Tax,3,6,6,2,1,100,0,0
,,,PAYE,2,236,314,12,1,11,6,1,
,,,,Registering and getting started,3,11,11,3,2,14,1,0
,,,,Paying HMRC,3,10,10,3,2,12,0,0
,,,,Annual PAYE and payroll tasks,3,5,5,1,0,6,6,1
,,,,Employees joining leaving or changing their circumstances,3,17,17,5,2,21,8,1
,,,,Expenses and benefits,3,18,18,6,2,23,10,1
,,,,Changes to the business that affect PAYE,3,4,4,1,0,5,7,1
,,,,Statutory pay and leave,3,6,6,2,1,7,5,1
,,,,Special types of employee pay,3,7,7,2,1,8,4,0
,,,Large and midsize business,2,4,12,1,0,0,4,1,
,,,,Midsized businesses,3,1,1,0,0,12,38,2
,,,,Large businesses,3,7,7,2,1,87,37,2
,,Dealing with HMRC,1,252,2336,18,1,13,1,0,,
,,,Paying HMRC,2,64,163,2,0,3,9,2,
,,,,Inheritance Tax,3,4,4,1,0,4,1,0
,,,,Pension schemes,3,5,5,1,0,5,0,0
,,,,Tax credit overpayments,3,1,1,0,0,1,4,0
,,,,Alcohol duties,3,7,7,2,1,7,1,0
,,,,Child Benefit overpayments,3,1,1,0,0,1,4,0
,,,,Property taxes,3,4,4,1,0,4,1,0
,,,,Corporation Tax,3,5,5,1,0,5,0,0
,,,,Money laundering regulation fees,3,1,1,0,0,1,4,0
,,,,Shares,3,2,2,0,0,2,3,0
,,,,VAT,3,15,15,5,2,15,9,1
,,,,Transport and environmental duties,3,2,2,0,0,2,3,0
,,,,Payment problems,3,2,2,0,0,2,3,0
,,,,Construction Industry Scheme through PAYE,3,3,3,1,0,3,2,0
,,,,Insurance Premium Tax,3,8,8,2,1,8,2,0
,,,,Capital Gains Tax,3,11,11,3,2,11,5,1
,,,,Income Tax and National Insurance,3,15,15,5,2,15,9,1
,,,,Gambling duties,3,7,7,2,1,7,1,0
,,,,PAYE ,3,6,6,2,1,6,0,0
,,,Tax agent and adviser guidance,2,1032,1061,62,2,63,50,2,
,,,,Working with HMRC  joint initiatives,3,3,3,1,0,10,10,1
,,,,Appeals and penalties,3,4,4,1,0,13,7,1
,,,,Agent authorisation,3,5,5,1,0,17,3,0
,,,,Compliance checks,3,4,4,1,0,13,7,1
,,,,Money laundering regulations,3,13,13,4,2,44,24,2
,,,Complaints and appeals,2,17,17,8,1,1,11,2,
,,,Phishing and scams,2,6,6,3,0,0,12,2,
,,,Tax compliance,2,140,180,7,1,8,4,1,
,,,,Disclosing offshore income,3,8,8,2,1,20,5,1
,,,,Reporting tax evasion,3,5,5,1,0,12,2,0
,,,,International agreements and FATCA,3,3,3,1,0,7,7,1
,,,,Disputes,3,7,7,2,1,17,2,0
,,,,Clearances and approvals,3,4,4,1,0,10,4,0
,,,,Nonpayment and fraud,3,5,5,1,0,12,2,0
,,,,Compliance checks,3,8,8,2,1,20,5,1
,,,Tax avoidance,2,171,203,18,2,10,2,0,
,,,,Identifying avoidance schemes,3,7,7,2,1,21,12,2
,,,,Disclosing avoidance schemes,3,8,8,2,1,25,8,1
,,,,Disguised remuneration schemes,3,17,17,5,2,53,19,2
,,,Shared Workspace service,2,12,12,6,1,0,12,2,
,,,Software development for HMRC,2,182,212,15,2,11,1,0,
,,,,HMRC recognition scheme,3,1,1,0,0,3,22,2
,,,,New to HMRC development,3,2,2,0,0,6,19,2
,,,,Working in partnership,3,2,2,0,0,6,19,2
,,,,Software development support,3,25,25,8,2,83,58,2
,,Personal tax,1,442,2055,16,0,23,8,0,,
,,,Living or working abroad or offshore,2,186,200,25,2,14,6,1,
,,,,Living and working abroad,3,9,9,3,2,64,14,2
,,,,Rules for specific occupations,3,5,5,1,0,35,15,2
,,,Tax on savings and investments,2,98,127,9,1,7,0,0,
,,,,Tax on shares,3,4,4,1,0,13,12,2
,,,,Tax efficient savings and investments,3,8,8,2,1,27,2,0
,,,,Tax on savings,3,10,10,3,2,34,9,1
,,,,Guidance for financial institutions,3,7,7,2,1,24,1,0
,,,Leaving the UK,2,7,7,3,0,0,7,2,
,,,Nonresident landlord scheme,2,19,19,9,1,1,6,1,
,,,Trusts,2,38,38,19,2,2,5,1,
,,,Inheritance Tax,2,126,142,10,1,9,1,0,
,,,,Wills and probate,3,3,3,1,0,18,7,1
,,,,Reliefs,3,4,4,1,0,25,0,0
,,,,Working out the tax,3,6,6,2,1,37,12,2
,,,,Paying HMRC,3,3,3,1,0,18,7,1
,,,Self Assessment,2,214,234,13,1,16,8,2,
,,,,Paying your tax bill,3,7,7,2,1,35,15,2
,,,,Refunds appeals and penalties,3,3,3,1,0,15,5,1
,,,,Records you must keep,3,1,1,0,0,5,15,2
,,,,Filing a tax return,3,8,8,2,1,40,20,2
,,,,Registering for Self Assessment,3,1,1,0,0,5,15,2
,,,Income Tax,2,231,270,10,1,18,10,2,
,,,,Welsh rate of Income Tax,3,2,2,0,0,5,7,1
,,,,Rates allowances and reliefs,3,9,9,3,2,23,10,1
,,,,Pensions,3,12,12,4,2,30,17,2
,,,,Scottish rate of Income Tax,3,2,2,0,0,5,7,1
,,,,Student jobs and loans,3,2,2,0,0,5,7,1
,,,,Company benefits and share schemes,3,5,5,1,0,12,0,0
,,,,Overpayments and underpayments,3,3,3,1,0,7,5,1
,,,,Special types of pay,3,4,4,1,0,10,2,0
,,,Capital Gains Tax,2,59,100,5,0,4,3,0,
,,,,Business,3,17,17,5,2,41,24,2
,,,,Property,3,8,8,2,1,19,2,0
,,,,Shares and investments,3,10,10,3,2,24,7,1
,,,,Personal possessions,3,1,1,0,0,2,14,2
,,,,Divorce and separation,3,1,1,0,0,2,14,2
,,,,Paying HMRC,3,4,4,1,0,9,7,1
,,,Coming to the UK,2,10,10,5,0,0,7,2,
,,,National Insurance,2,77,90,6,1,6,1,0,
,,,,Refunds,3,3,3,1,0,23,2,0
,,,,National Insurance numbers,3,5,5,1,0,38,13,2
,,,,Voluntary contributions,3,2,2,0,0,15,10,1
,,,,Rates and classes,3,3,3,1,0,23,2,0
,,,Foreign entertainer tax rules,2,11,11,5,0,0,7,2,
,,,Personal tax reform,2,193,193,96,2,15,7,2,
,,Tax evasion and avoidance,1,481,481,481,2,25,10,0,,
