,taxon_id,taxon_size,mean_cosine_score,taxon_base_path,taxon_level,level1taxon,fewer_than_or_equal_5items,more_than_0_5_diversity
0,668cd623-c7a8-4159-9575-90caac36d4b4,5166,0.5954901576042175,/society-and-culture/community-and-society,2,Society and culture,0,1
246,f9e476ef-654d-41ec-97d9-2b6842d4361d,786,0.5890252590179443,/society-and-culture/sports-and-leisure,2,Society and culture,0,1
48,495afdb6-47be-4df1-8b38-91c8adb1eefc,8136,0.5715098977088928,/business-and-industry,1,Business and industry,0,1
833,fc5f468f-a3ba-4fde-9c1d-ed2dd17cfd82,31,0.5712053775787354,/housing-local-and-community/housing-local-services-safety-environment,3,"Housing, local and community",0,1
18,b29cf14b-54c6-402c-a9f0-77218602d1af,2333,0.5696437358856201,/society-and-culture/arts-and-culture,2,Society and culture,0,1
38,e491505c-77ae-45b2-84be-8c94b94f6a2b,4917,0.562597393989563,/defence-and-armed-forces,1,Defence and armed forces,0,1
133,b297e49c-7da4-4bc1-8714-da80fa0758d3,2332,0.5621165633201599,/society-and-culture/equality-rights-and-citizenship,2,Society and culture,0,1
58,8a98b827-82ad-49b4-819e-82c208c551c4,9471,0.5603833198547363,/government/national-security,2,Government,0,1
123,78c2148c-a7cd-448b-8105-9f78ded119d1,1785,0.5598940849304199,/government/emergency-preparation-reponse-and-recovery,2,Government,0,1
49,68ad6c84-49fd-4871-95bc-5bd48c0f81e1,2062,0.556106686592102,/regional-and-local-government/wales,2,Regional and local government,0,1
34,52ff5c99-a17b-42c4-a9d7-2cc92cccca39,2435,0.5555601716041565,/environment/food-and-farming,2,Environment,0,1
10,e48ab80a-de80-4e83-bf59-26316856a5f9,142,0.5536430478096008,/government/all,1,Government,0,1
696,ed952e5a-2ea7-44c0-aed9-c97ffe58993b,41,0.5526235103607178,/crime-justice-and-law/rights,2,"Crime, justice and law",0,1
117,4ef6d013-ec2d-4ae8-a1a0-5a984e6e6c42,444,0.5503163933753967,/business-and-industry/media-and-communications,2,Business and industry,0,1
4,9fb30a53-70fb-4f1c-878b-0064b202d1ba,2424,0.5490978360176086,/international/international-aid-and-development,2,International,0,1
519,95d06252-5d75-42fb-9c5c-038ab6b482e4,27,0.5487273335456848,/government/democracy,2,Government,0,1
99,e2aac912-93c5-4b19-bd3d-9c12676e985c,1529,0.5480577945709229,/regional-and-local-government/scotland,2,Regional and local government,0,1
20,a1e4659c-dc15-48be-bc4f-6c609ae061dc,8025,0.5444251298904419,/business-and-industry/uk-economy,2,Business and industry,0,1
408,37d0fa26-abed-4c74-8835-b3b51ae1c8b2,57,0.5440725684165955,/international,1,International,0,1
124,da0bc015-f8e5-492c-8d81-6fbf9b18947c,628,0.5439633131027222,/business-and-industry/consumer-rights-and-issues,3,Business and industry,0,1
62,3dbeb4a3-33c0-4bda-bd21-b721b0f8736f,1749,0.5418309569358826,/going-and-being-abroad/british-nationals-overseas,2,Going and being abroad,0,1
35,695dc6f2-27cc-4d8b-adc4-8d07c2bff748,1472,0.5337048768997192,/environment/wildlife-animals-biodiversity-and-ecosystems,2,Environment,0,1
409,092348a4-b896-4f8f-a0dc-e6d4605a4904,45,0.5322802066802979,/employment/working,2,Work,0,1
53,ed2ca1f7-5463-4eda-9324-b597e269e242,7389,0.5320103764533997,/business-and-industry/trade-and-investment,2,Business and industry,0,1
139,e2ca2f1a-0ff3-43ce-b813-16645ff27904,248,0.5311047434806824,/society-and-culture,1,Society and culture,0,1
110,b534a486-dcf9-48fd-9419-d99811e54558,524,0.5309723615646362,/society-and-culture/community-integration,3,Society and culture,0,1
786,9597c30a-605a-4e36-8bc1-47e5cdae41b3,14,0.5304023027420044,/going-and-being-abroad,1,Going and being abroad,0,1
90,6acc9db4-780e-4a46-92b4-1812e3c2c48a,2138,0.5238144993782043,/money,1,Money,0,1
507,15191831-40b4-4f6e-ade3-e82d7c775afd,73,0.521409809589386,/regional-and-local-government/local-councils,2,Regional and local government,0,1
